4K8K频道,#genre#
天津卫视-HEVC,http://192.168.2.131:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://192.168.2.131:50001/TVOD/6000000001000009954/wasusyt/index.m3u8$8M1080_华数
安徽卫视,http://192.168.2.131:50001/TVOD/1000000001000030159/ystenlive/index.m3u8$8M1080_易视腾
安徽卫视,http://192.168.2.131:50001/TVOD/5000000004000023002/bestzb/index.m3u8$7.5M1080_百视通
安徽卫视,http://192.168.2.131:50001/TVOD/1000000005000265025/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
安徽卫视,http://192.168.2.131:50001/TVOD/5000000001000027288/bestzb/index.m3u8$4M1080_百视通
安徽卫视,http://192.168.2.131:50001/TVOD/1000000001000020780/ystenlive/index.m3u8$4M1080_易视腾
北京纪实科教,http://192.168.2.131:50001/TVOD/1000000001000001910/ystenlive/index.m3u8$8M1080_易视腾
北京纪实科教,http://192.168.2.131:50001/TVOD/5000000011000031204/bestzb/index.m3u8$6.8M1080_百视通
北京纪实科教,http://192.168.2.131:50001/TVOD/2000000002000000065/hnbblive/index.m3u8$6.8M1080_湖南bblive
北京纪实科教,http://192.168.2.131:50001/TVOD/1000000005000265020/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
北京纪实科教,http://192.168.2.131:50001/TVOD/2000000003000000026/hnbblive/index.m3u8$4M1080_湖南bblive
北京纪实科教,http://192.168.2.131:50001/TVOD/1000000001000028380/ystenlive/index.m3u8$4M1080_易视腾
北京卡酷少儿,http://192.168.2.131:50001/TVOD/7851974109718180595/bestzb/index.m3u8$6.8M1080_百视通
北京卡酷少儿,http://192.168.2.131:50001/TVOD/1000000002000002413/ystenlive/index.m3u8$4M576_易视腾
北京卡酷少儿,http://192.168.2.131:50001/TVOD/6000000003000002709/wasusyt/index.m3u8$1.8M576_华数
北京卫视,http://192.168.2.131:50001/TVOD/6000000001000020451/wasusyt/index.m3u8$8M1080_华数
北京卫视,http://192.168.2.131:50001/TVOD/1000000001000021288/ystenlive/index.m3u8$8M1080_易视腾
北京卫视,http://192.168.2.131:50001/TVOD/5000000004000031556/bestzb/index.m3u8$7.5M1080_百视通
北京卫视,http://192.168.2.131:50001/TVOD/1000000005000265027/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
北京卫视,http://192.168.2.131:50001/TVOD/5000000010000011502/bestzb/index.m3u8$4M1080_百视通
北京卫视,http://192.168.2.131:50001/TVOD/1000000001000017156/ystenlive/index.m3u8$4M1080_易视腾
兵团卫视,http://192.168.2.131:50001/TVOD/1000000005000266005/ystenlive/index.m3u8$4M576_易视腾
兵团卫视,http://192.168.2.131:50001/TVOD/5000000006000040020/bestzb/index.m3u8$4M540_百视通
福建东南卫视,http://192.168.2.131:50001/TVOD/5000000004000010584/bestzb/index.m3u8$8M1080_百视通
福建东南卫视,http://192.168.2.131:50001/TVOD/1000000005000265033/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
福建东南卫视,http://192.168.2.131:50001/TVOD/5000000001000005829/bestzb/index.m3u8$4M1080_百视通
福建东南卫视,http://192.168.2.131:50001/TVOD/1000000002000009263/ystenlive/index.m3u8$4M1080_易视腾
甘肃卫视,http://192.168.2.131:50001/TVOD/5000000011000031121/bestzb/index.m3u8$6.8M1080_百视通
甘肃卫视,http://192.168.2.131:50001/TVOD/1000000002000017827/ystenlive/index.m3u8$4M1080_易视腾
甘肃卫视,http://192.168.2.131:50001/TVOD/5000000006000040021/bestzb/index.m3u8$4M540_百视通
广东大湾区卫视,http://192.168.2.131:50001/TVOD/2000000003000000045/hnbblive/index.m3u8$4M576_湖南bblive
广东大湾区卫视,http://192.168.2.131:50001/TVOD/1000000002000011619/ystenlive/index.m3u8$4M576_易视腾
广东嘉佳卡通,http://192.168.2.131:50001/TVOD/1000000002000025964/ystenlive/index.m3u8$4M576_易视腾
广东嘉佳卡通,http://192.168.2.131:50001/TVOD/6000000003000025508/wasusyt/index.m3u8$1.8M576_华数
广东卫视,http://192.168.2.131:50001/TVOD/5000000004000014694/bestzb/index.m3u8$8M1080_百视通
广东卫视,http://192.168.2.131:50001/TVOD/6000000001000031076/wasusyt/index.m3u8$8M1080_华数
广东卫视,http://192.168.2.131:50001/TVOD/1000000001000014176/ystenlive/index.m3u8$8M1080_易视腾
广东卫视,http://192.168.2.131:50001/TVOD/1000000005000265034/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
广东卫视,http://192.168.2.131:50001/TVOD/5000000010000030417/bestzb/index.m3u8$4M1080_百视通
广东卫视,http://192.168.2.131:50001/TVOD/1000000001000028357/ystenlive/index.m3u8$4M1080_易视腾
广东珠江,http://192.168.2.131:50001/TVOD/2000000003000000033/hnbblive/index.m3u8$2.5M720_湖南bblive
广东珠江,http://192.168.2.131:50001/TVOD/1000000004000011655/ystenlive/index.m3u8$2.5M720_易视腾
广西卫视,http://192.168.2.131:50001/TVOD/5000000011000031118/bestzb/index.m3u8$6.8M1080_百视通
广西卫视,http://192.168.2.131:50001/TVOD/1000000002000019837/ystenlive/index.m3u8$4M1080_易视腾
广西卫视,http://192.168.2.131:50001/TVOD/5000000006000040014/bestzb/index.m3u8$4M540_百视通
贵州卫视,http://192.168.2.131:50001/TVOD/5000000004000025843/bestzb/index.m3u8$8M1080_百视通
贵州卫视,http://192.168.2.131:50001/TVOD/1000000002000003169/ystenlive/index.m3u8$4M1080_易视腾
海南卫视,http://192.168.2.131:50001/TVOD/5000000004000006211/bestzb/index.m3u8$8M1080_百视通
海南卫视,http://192.168.2.131:50001/TVOD/1000000002000023773/ystenlive/index.m3u8$4M1080_易视腾
河北卫视,http://192.168.2.131:50001/TVOD/5000000006000040016/bestzb/index.m3u8$8M1080_百视通
河北卫视,http://192.168.2.131:50001/TVOD/1000000002000017118/ystenlive/index.m3u8$4M1080_易视腾
